"lat","lon","name"
"24.8001713","-107.4150080","Boulevard Pedro Infante Cruz"
"24.7969560","-107.4006640",""
"24.7906968","-107.4259209","Boulevard Emiliano Zapata"
"24.7968313","-107.4110685","Avenida de los Insurgentes"
"24.8045820","-107.4030619","Eje Federalismo"
"24.7957658","-107.4045784","Boulevard Emiliano Zapata"
"24.8005409","-107.4041087","Guadalupe Victoria"
"24.8040890","-107.4029366","Boulevard Francisco I. Madero"
"24.7917885","-107.3935613","Avenida Álvaro Obregón"
"24.8031826","-107.4047283","Avenida Lázaro Cárdenas"
"24.7926607","-107.3818645","Calle Río Balsas"
"24.7936724","-107.4098217","Boulevard Emiliano Zapata"
"24.7935432","-107.4097780","Boulevard Emiliano Zapata"
"24.8106012","-107.4046759","Malecón"
"24.8105117","-107.4046605","Nicolás Bravo"
"24.8119780","-107.3972496","Avenida General Domingo Rubí"
"24.8120626","-107.3972603","Avenida General Domingo Rubí"
"24.8098939","-107.3948034","Calle General Antonio Rosales"
"24.8080241","-107.3944646","Calle Miguel Hidalgo y Costilla"
"24.7992376","-107.3940498","Calle Constitución"
"24.7985999","-107.4043076","Guadalupe Victoria"
"24.7987759","-107.4009769","Boulevard Constitución"
"24.7988186","-107.4018765","Boulevard Constitución"
"24.7997806","-107.4020621","Calle General José Aguilar Barraza"
"24.8001423","-107.3941139","Calle General José Aguilar Barraza"
"24.8037934","-107.3942762","Calle General Francisco Villa"
"24.7974320","-107.3927460","Boulevard Emiliano Zapata"
"24.7975172","-107.3927536","Avenida Doctor Ruperto L. Paliza"
"24.7994768","-107.3875151","Calle Constitución"
"24.8118928","-107.3986611",""
"24.7905598","-107.4258389","Boulevard Emiliano Zapata"
"24.8108543","-107.3949341","Calle General Rafael Buelna Tenorio"
"24.8089407","-107.3946217","Avenida Álvaro Obregón"
"24.7969178","-107.4112326","Calle 16 de Septiembre"
"24.8091344","-107.4043233","Calle General Rafael Buelna Tenorio"
"24.7924022","-107.4006654","Calle Río Papaloapan"
"24.7997459","-107.4079817","Avenida de los Insurgentes"
"24.8006275","-107.4022368","Avenida General Nicolás Bravo"
"24.8010378","-107.3941693","Avenida Álvaro Obregón"
"24.8022024","-107.3942094","Boulevard Gabriel Leyva Solano"
"24.8032545","-107.4027617","Avenida General Nicolás Bravo"
"24.8035064","-107.4051051","Avenida de los Insurgentes"
"24.8039033","-107.4047228","Lazaro Cardenas"
"24.8041995","-107.4029714","Avenida General Nicolás Bravo"
"24.8055825","-107.3943416","Calle Cristóbal Colón"
"24.8058797","-107.4034236","Avenida General Nicolás Bravo"
"24.8066746","-107.3943799","Calle Mariano Escobedo"
"24.8066623","-107.4036280","Avenida General Nicolás Bravo"
"24.8074121","-107.3944122","Avenida Álvaro Obregón"
"24.8046873","-107.3943203","Boulevard Francisco I. Madero"
"24.8082353","-107.4040720","Avenida General Nicolás Bravo"
"24.8120951","-107.3941074",""
"24.8134585","-107.4124227","Rotarismo"
"24.8213114","-107.4005269","Boulevard Enrique Sánchez Alonso"
"24.8213711","-107.4003530","Boulevard Enrique Sánchez Alonso"
"24.8213875","-107.4004966","Boulevard Enrique Sánchez Alonso"
"24.8213740","-107.4079281","Boulevard Rotarismo"
"24.8213947","-107.4077859","Boulevard Rotarismo"
"24.8215164","-107.4078248","Boulevard Rotarismo"
"24.8215468","-107.4076733","Boulevard Rotarismo"
"24.8210916","-107.3897185","Boulevard Pedro María Anaya"
"24.7925683","-107.3806608","Avenida 21 de Marzo"
"24.7880104","-107.4079055","Avenida Lázaro Cárdenas"
"24.7893197","-107.4005100","Avenida General Nicolás Bravo"
"24.7973751","-107.3939424","Boulevard Emiliano Zapata"
"24.7978552","-107.4016679","Calle General Ignacio Ramírez"
"24.7983339","-107.3939995","Calle General Ignacio Ramírez"
"24.7988783","-107.4010025","Boulevard Constitución"
"24.8133582","-107.3698674",""
"24.7937487","-107.4098581","Avenida Lázaro Cárdenas"
"24.7956212","-107.4045138","Boulevard Emiliano Zapata"
"24.7958032","-107.4086697","Avenida Lázaro Cárdenas"
"24.7971582","-107.4074131","Avenida Lázaro Cárdenas"
"24.7927400","-107.3818426","Boulevard Ciudades Hermanas"
"24.8006752","-107.4013363","Calle General Juan José Ríos"
"24.8049423","-107.4057082","Calzada Recursos Hidráulicos"
"24.8108313","-107.4038310",""
"24.7930109","-107.4165973","Avenida Independencia"
"24.8003011","-107.4151390","Boulevard Jorge Julián Chávez Castro"
"24.8096066","-107.3966722","Calle General Antonio Rosales"
"24.7984660","-107.4066428","Avenida Lázaro Cárdenas"
"24.8119761","-107.3986711","Puente Bimodal de Parque las Riberas, comunica la margen derecha del río Tamazula con el bulevar Paseo Niños Héroes."
"24.7970794","-107.4006815","Boulevard Emiliano Zapata"
"24.7929129","-107.4166065","Calle Puerto de la Paz"
"24.7928402","-107.4165993",""
"24.8134351","-107.4126059","Boulevard Rotarismo"
"24.8133413","-107.4125080","Rotarismo"
"24.8135503","-107.4125144","Internacional México 15"
"24.8024485","-107.4137850",""
"24.8027834","-107.4134560",""
"24.8044915","-107.4050558","Glorieta Cuauhtemoc"
"24.8107467","-107.4038056",""
"24.7956577","-107.4174419","Calle Las Santas"
"24.7975628","-107.4185595","Calle de las Aves"
"24.7964041","-107.4179891","Calle de las Fuentes"
"24.7989509","-107.4167390","Calle Las Macetas"
"24.7986541","-107.4177215","Camino Oriente"
"24.7983363","-107.4163682","Calle de las Aves"
"24.7979918","-107.4174801","Camino Oriente"
"24.7988648","-107.3995305",""
"24.7989672","-107.3995320",""
"24.7928857","-107.4145280",""
"24.7969168","-107.4015210","Boulevard Emiliano Zapata"
"24.8086387","-107.3969963","Calle General Ángel Flores"
"24.8087150","-107.3945831","Avenida Álvaro Obregón"
"24.8091966","-107.3925680",""
"24.8212975","-107.4003778","Boulevard Enrique Sánchez Alonso"
"24.7929467","-107.4128766","Avenida Pascual Orozco"
"24.7968007","-107.4015018","Boulevard Emiliano Zapata"
"24.7931856","-107.3902291",""
"24.7931234","-107.3903940","Rio Piaxtla"
"24.7929882","-107.3904407",""
"24.7928938","-107.3904036",""
"24.8093708","-107.3945997","Plazuela Alvaro Obregón"
